Q1,Q2,Q3,Q4,age,gender,occupation
1,1,9,difference-honoring feminism,18,male,N/A
4,4,8,difference-honoring feminism,18,female,N/A
2,3,8,difference-honoring feminism,19,female,N/A
4,2,9,difference-honoring feminism,16,female,N/A
1,1,7,difference-honoring feminism,17,male,N/A
2,1,9,difference-denying feminism,51,female,Actuary
1,1,9,difference-denying feminism,79,female,retired
1,1,10,difference-removing feminism,49,male,Actuary
1,5,10,difference-honoring feminism,19,male,N/A
1,1,8,difference-honoring feminism,74,female,retired teacher
